totalLike,totalComment,tag
35477,147.0,"#围攻\""
1872342,25570.0,#中国玩家
154907,2010.0,#恐鬼症
860,19.0,#恐怖游戏
170381,3429.0,#强大的中国玩家
4320421,125832.0,#游戏
1673,43.0,#涨知识
1185504,15510.0,#中国玩家 
3377,48.0,#整活
1872342,25570.0,#中国玩家
20155,222.0,#townscaper
20155,222.0,#叠叠乐
4320421,125832.0,#游戏
1872342,25570.0,#中国玩家
722,15.0,#刺杀
5900,1601.0,#妄想山海
5900,1601.0,#恐龙闯山海
1533,115.0,#满级人类 #顶级玩家 
1036,55.0,#游戏凡星计划  #集结吧光合创作者  #叙利亚玩家 
1010,37.0,#中国玩家 就问你们还有谁？！
153729,15162.0,#游戏凡星计划
4320421,125832.0,#游戏
6,1.0,#电影剪辑
6,1.0,#电影推荐
108000,4862.0,#星核玩家
11914,1699.0,#游戏凡星计划 
34240,310.0,#代号47狙击
1037,25.0,#星核玩家  #主机单机 
788,17.0,#异星工厂 
505612,4533.0,#游戏 #中国玩家 #躲猫猫 
3414,247.0,#游戏  #我的世界  #中国玩家 
36117,672.0,#星核玩家 #主机单机游戏 #心魔 
14363,320.0,#学生党
1032,8.0,#游戏中的精彩瞬间
4320421,125832.0,#游戏
232753,7595.0,#快手小游戏
918,10.0,#模拟人生
1872342,25570.0,#中国玩家
1680912,30999.0,#游戏 
63886,588.0,#骚操作 
170381,3429.0,#强大的中国玩家
4320421,125832.0,#游戏
9105,1125.0,#热血
1872342,25570.0,#中国玩家
21468,945.0,#squad  #战术小队  #游戏星光大赏 
11210,114.0,#游戏  #中国玩家  #沙雕 
5136,78.0,#中国玩家 #游戏 
1680912,30999.0,#游戏 
169490,2983.0,#了不起的中国玩家
2952,39.0,#翼星求生
143193,1227.0,#骚操作
3377,48.0,#整活
2952,39.0,#翼星求生
143193,1227.0,#骚操作
3377,48.0,#整活
2952,39.0,#翼星求生
143193,1227.0,#骚操作
3377,48.0,#整活
2952,39.0,#翼星求生
143193,1227.0,#骚操作
3377,48.0,#整活
2952,39.0,#翼星求生
143193,1227.0,#骚操作
3377,48.0,#整活
2952,39.0,#翼星求生
143193,1227.0,#骚操作
3377,48.0,#整活
2952,39.0,#翼星求生
143193,1227.0,#骚操作
3377,48.0,#整活
2952,39.0,#翼星求生
143193,1227.0,#骚操作
3377,48.0,#整活
2952,39.0,#翼星求生
143193,1227.0,#骚操作
3377,48.0,#整活
2952,39.0,#翼星求生
143193,1227.0,#骚操作
3377,48.0,#整活
2952,39.0,#翼星求生
143193,1227.0,#骚操作
3377,48.0,#整活
2952,39.0,#翼星求生
143193,1227.0,#骚操作
3377,48.0,#整活
2952,39.0,#翼星求生
143193,1227.0,#骚操作
3377,48.0,#整活
2952,39.0,#翼星求生
143193,1227.0,#骚操作
3377,48.0,#整活
2952,39.0,#翼星求生
143193,1227.0,#骚操作
3377,48.0,#整活
2952,39.0,#翼星求生
143193,1227.0,#骚操作
3377,48.0,#整活
2952,39.0,#翼星求生
143193,1227.0,#骚操作
3377,48.0,#整活
2952,39.0,#翼星求生
143193,1227.0,#骚操作
3377,48.0,#整活
2952,39.0,#翼星求生
143193,1227.0,#骚操作
3377,48.0,#整活
2952,39.0,#翼星求生
143193,1227.0,#骚操作
3377,48.0,#整活
36748,1553.0,#主机单机  #世界盒子  #星核玩家 
4320421,125832.0,#游戏
143193,1227.0,#骚操作
23253,1019.0,#squad  #战术小队 
23253,1019.0,#游戏星光大赏 
226695,10164.0,#集结吧光合创作者
22,1.0,#星熠萌新计划 #影视解说 #韩剧 
717,12.0,#游戏 游戏史上感动官方的中国玩家
3729,80.0,#中国玩家 #骚操作 这也太秀了把 
711,12.0,#游戏解说 #中国玩家 #奇葩枪械 
241204,3518.0,#搞笑
383,6.0,#今日迷惑行为
2448,152.0,#顶级玩家
226695,10164.0,#集结吧光合创作者
2275,67.0,#游戏杂谈 #中国玩家 #骚操作 
1680912,30999.0,#游戏 
106733,1371.0,#搞笑 
1185504,15510.0,#中国玩家 
108000,4862.0,#星核玩家
226695,10164.0,#集结吧光合创作者
8142,224.0,#世界盒子  #沙盒游戏  #星核玩家 
1872342,25570.0,#中国玩家
4320421,125832.0,#游戏
1412,19.0,#世界盒子  #星核玩家  #沙盒游戏 
1104,21.0,#中国玩家 #方舟生存进化 
431374,9261.0,#游戏杂谈
18871,5427.0,#绝地求生
170381,3429.0,#强大的中国玩家
59080,1226.0,#游戏 #vr #vr玩家一号
898169,8997.0,#躲猫猫
4320421,125832.0,#游戏
1872342,25570.0,#中国玩家
29315,376.0,#游戏  #搞笑  #奇葩玩家 
3836,161.0,#游戏  #中国玩家  #射击游戏 
11354,270.0,#超凡先锋
226695,10164.0,#集结吧光合创作者
22706,2310.0,#我的世界
1872342,25570.0,#中国玩家
1384,88.0,#奶块
1384,88.0,#尼伯龙根
117834,1433.0,#csgo
1872342,25570.0,#中国玩家
102226,1395.0,#射击游戏
1872342,25570.0,#中国玩家
19006,439.0,#神仙
8142,224.0,#世界盒子  #沙盒游戏  #星核玩家 
,,#CSGO  #中国玩家  #游戏  @快手创作者中心(O3xrgtux2ehryffe)  @快手粉条(O3xhcy6vhfzcu3qe)  @快手热点(O3xddgkd5fav5if9) 
612,14.0,# csgo #躲猫猫 #中国玩家 
70,3.0,#直播
4320421,125832.0,#游戏
779,18.0,#游戏 #资讯 #中国玩家 
4320421,125832.0,#游戏
23021,1648.0,#王者荣耀
1872342,25570.0,#中国玩家
36748,1553.0,#主机单机  #世界盒子  #星核玩家 
3107,85.0,#永劫无间  #主机单机  #星核玩家 
226695,10164.0,#集结吧光合创作者
226695,10164.0,#集结吧光合创作者
22159,2779.0,#和平精英
8405,911.0,#晒出你的和平精英注册时间
4320421,125832.0,#游戏
226695,10164.0,#集结吧光合创作者
2448,152.0,#顶级玩家
241204,3518.0,#搞笑
59800,594.0,#CSGO  #游戏mod 
526,7.0,#CSGO  #射击游戏 #躲猫猫 
1569,47.0,#游戏 #中国玩家 #解说 
241204,3518.0,#搞笑
16280,379.0,#英语
16280,379.0,"#情感伤害\""
241204,3518.0,#搞笑
16280,379.0,#英语
16280,379.0,"#情感伤害\""
241204,3518.0,#搞笑
16280,379.0,#英语
16280,379.0,"#情感伤害\""
241204,3518.0,#搞笑
16280,379.0,#英语
16280,379.0,"#情感伤害\""
241204,3518.0,#搞笑
16280,379.0,#英语
16280,379.0,"#情感伤害\""
241204,3518.0,#搞笑
16280,379.0,#英语
16280,379.0,"#情感伤害\""
241204,3518.0,#搞笑
16280,379.0,#英语
16280,379.0,"#情感伤害\""
