,vid,title,time,realLikeCount,duration,auth,totcomment,comtext,comrealLikedCount,comauth
68,3xd5rtrw6z33zjc,"软呼呼，巨好吃的芝士酸奶夹✨✨✨
如云朵般绵软☁️一口爆浆做法还简单～
🌻🌻🌻食材🌻🌻🌻
蛋糕体：鸡蛋2个，细砂糖25克，牛奶30克，玉米油20克，低筋面粉38克，柠檬汁适量。
酸奶芝士馅：
奶油奶酪150克，淡奶油60克，细砂糖20克，酸奶65克。
高比克160度烤20分钟。
i7上火180度下火160度烤15-18分钟。
c40上火170度，下火150度烤15-18分钟左右。 #美食推荐官 #甜品烘焙 #人人都是美食家",2021-12-31 18:28:37,2398,87433.00,小渝儿🌻 美食分享,106,[色],0,User_1568434311062
69,3xd5rtrw6z33zjc,"软呼呼，巨好吃的芝士酸奶夹✨✨✨
如云朵般绵软☁️一口爆浆做法还简单～
🌻🌻🌻食材🌻🌻🌻
蛋糕体：鸡蛋2个，细砂糖25克，牛奶30克，玉米油20克，低筋面粉38克，柠檬汁适量。
酸奶芝士馅：
奶油奶酪150克，淡奶油60克，细砂糖20克，酸奶65克。
高比克160度烤20分钟。
i7上火180度下火160度烤15-18分钟。
c40上火170度，下火150度烤15-18分钟左右。 #美食推荐官 #甜品烘焙 #人人都是美食家",2021-12-31 18:28:37,2398,87433.00,小渝儿🌻 美食分享,106,[666],0,小阁
70,3x5ph2wbni8s6tq,教育，教和育 #教育  #升学  #学业生涯规划,2022-01-05 16:15:45,46177,178233.00,杨悦的课堂,4428,王者79星 巅峰赛2300  我能干啥？ 高考585分 一千米3分16,1104,爱跑步的小蔡
71,3x5ph2wbni8s6tq,教育，教和育 #教育  #升学  #学业生涯规划,2022-01-05 16:15:45,46177,178233.00,杨悦的课堂,4428,17星啥也不是,384,河畔一缕清风
72,3x5ph2wbni8s6tq,教育，教和育 #教育  #升学  #学业生涯规划,2022-01-05 16:15:45,46177,178233.00,杨悦的课堂,4428,我物理0分，化学1分，生物2分，数学1分，英语0.5分，语文9.5，是不是很偏科,69,smart大师兄
73,3x5ph2wbni8s6tq,教育，教和育 #教育  #升学  #学业生涯规划,2022-01-05 16:15:45,46177,178233.00,杨悦的课堂,4428,王者17星，太低了,146,✎﹏ℳ๓₯或子呆
74,3x5ph2wbni8s6tq,教育，教和育 #教育  #升学  #学业生涯规划,2022-01-05 16:15:45,46177,178233.00,杨悦的课堂,4428,未成年 有健康系统 上王者巅峰赛1500 打了100多场,48,城南某个小孩儿
75,3x5ph2wbni8s6tq,教育，教和育 #教育  #升学  #学业生涯规划,2022-01-05 16:15:45,46177,178233.00,杨悦的课堂,4428,身高178中考373王者最高59星，巅峰赛1928不活泼，自卑有救不[大哭],11,真的绝绝子
76,3x5ph2wbni8s6tq,教育，教和育 #教育  #升学  #学业生涯规划,2022-01-05 16:15:45,46177,178233.00,杨悦的课堂,4428,刚听语文折了。。。之后发现。原来语文是最高的,164,💜不变的新💚
77,3x5ph2wbni8s6tq,教育，教和育 #教育  #升学  #学业生涯规划,2022-01-05 16:15:45,46177,178233.00,杨悦的课堂,4428,工地搬砖,17,爱唱歌的小骡子
78,3x5ph2wbni8s6tq,教育，教和育 #教育  #升学  #学业生涯规划,2022-01-05 16:15:45,46177,178233.00,杨悦的课堂,4428,我能自己建个职业吗？,1,变成光守护嘉然小姐
79,3x5ph2wbni8s6tq,教育，教和育 #教育  #升学  #学业生涯规划,2022-01-05 16:15:45,46177,178233.00,杨悦的课堂,4428,孩子毁了,0,黯淡默言
80,3xukzwbamivj9cs,学唱歌用颈窝，简单又好学 #刘和刚颈窝发声法唱好中国歌 #学习 #唱歌,2022-01-07 13:48:43,12859,105200.00,刘和刚-《父亲》,1343,老师我爱您[龇牙],3,赵晓慧声乐老师
81,3xukzwbamivj9cs,学唱歌用颈窝，简单又好学 #刘和刚颈窝发声法唱好中国歌 #学习 #唱歌,2022-01-07 13:48:43,12859,105200.00,刘和刚-《父亲》,1343,朋友，大明星，晚上大明星，大歌星，大明星。晚上，晚上好。[爱心][火][666],0,家和万事兴32494
82,3xukzwbamivj9cs,学唱歌用颈窝，简单又好学 #刘和刚颈窝发声法唱好中国歌 #学习 #唱歌,2022-01-07 13:48:43,12859,105200.00,刘和刚-《父亲》,1343,[赞][赞][赞][赞][赞][优秀],0,张宸奶奶267
83,3xukzwbamivj9cs,学唱歌用颈窝，简单又好学 #刘和刚颈窝发声法唱好中国歌 #学习 #唱歌,2022-01-07 13:48:43,12859,105200.00,刘和刚-《父亲》,1343,[赞][赞][赞][赞][赞],0,露珠韵红叶
84,3xukzwbamivj9cs,学唱歌用颈窝，简单又好学 #刘和刚颈窝发声法唱好中国歌 #学习 #唱歌,2022-01-07 13:48:43,12859,105200.00,刘和刚-《父亲》,1343,[赞][赞][赞][玫瑰][玫瑰][玫瑰],0,细腰柳眉
